这这瓶	這瓶
获得获得	獲得
这张牌在本回合这张牌在本回合耗能变为	這張牌在本回合耗能變為
则此牌就所有敌人	則此牌就對所有敵人
中移除[gold]移除[/gold]	中[gold]移除[/gold]
{IntangiblePower:diff()}[gold]无实体[/gold]	{IntangiblePower:diff()}層[gold]無實體[/gold]
额外[blue]1[/blue]张牌	額外抽[blue]1[/blue]張牌
尽心连接	進行連線
同组重你	同組中你
与[green]相同[/green]的温柔气息	與[green]巨人[/green]相同的溫柔氣息
鲜有人都有所进展	鮮有人有所進展
[red]工程师[/red]	[red]建築師[/red]
终结与此	終結於此
自己都[blue]四肢	自己[blue]四肢
派的上	派得上
以上敌人受到额外伤害	易傷的敵人受到額外傷害
给于	給予
闪光贾克斯果	噬咬賈克斯果
999伤害	999點傷害
你打开的第一个宝箱将是[red]空的[/red]	你開啟的第一個寶箱將是[red]空的[/red]。
张 牌	張牌
[gold]眩晕[/gold]该敌人	[gold]眩暈[/gold]該敵人。
弹窗提示	彈出式提示
水母肝	果凍肝
等量于与你	等量於你
在你的回合结束时，这张牌在你的	若在你的回合結束時，這張牌在你的
Reach In	探入
Add [red]Writhe[/red]到你的[gold]牌组[/gold]	將一張[red]苦惱[/red]加入你的[gold]牌組[/gold]
攻击牌伤害增加造成[blue]{Amount}[/blue]。	攻擊牌傷害增加[blue]{Amount}[/blue]點。
被打出第一张	被打出的第一張
随机[blue]1[/blue]牌[gold]升级[/gold]	隨機[blue]1[/blue]張牌[gold]升級[/gold]
一层楼层	一層樓
一张卡放到	一張牌放到
