回复	回復
只影响	只影響
只会	只會
只能	只能
最多只会	最多只會
最多只能	最多只能
一回合	一回合
每回合	每回合
本回合	本回合
背包	背包
烟斗	煙斗
欲望	欲望
回荡	迴蕩
回音	回音
高台	高台
平台	平台
升天	升天
尝尝	嘗嘗
手链	手鏈
炼金	煉金
孢子云	孢子雲
汇报	回報
想象	想像
积累分数	累積分數
的士兵	的士兵
被发送	被發送
被发明	被發明
碎片整理	磁碟重組
铁甲军团	鐵衛軍團
全身撞击	泰山壓頂
超越光速	超光速
火焰屏障	火焰護盾
夜魇	夢魘
闪电霹雳	天雷地動
突然一拳	突襲
带骨肉	帶骨大肉
手里剑	手裏劍
后台	背景
在后台	在背景
先尝试单人	先嘗試單人
明确地表明了	明確地表明了
条件下签下的	條件下簽下的
整点儿	弄些
格拉索里安	格拉索里安
信息素	費洛蒙
全局音量	主音量
视频设置	影像設定
复制	複製
进行复制	進行複製
蜡制	蠟製
东西里	東西裡
这群人里	這群人裡
数千只	數千隻
一下游戏	一下遊戲
自定模式	自訂模式
自定游戏	自訂遊戲
粘滞	黏滯
荧光	螢光
卷须	捲鬚
联机	連線
市场支持	行銷支援
模组支持	模組支援
断开	中斷
瘆人的树	陰森的樹
怎么个事儿? 哈…?	怎麼回事？蛤…？
组织的多人游戏	開設的多人遊戲
控制台	控制台
凄美	淒美
一台	一台
布满	布滿
托举	托舉
液面	液面
烛台	燭台
石台	石台
这台	這台
冲天	衝天
扎了	扎了
芝士	起司
被复制	被複製
给与	給予
封禁或拉黑	停權或封鎖
拖拽	拖曳
视频、声音	影像、聲音
在通过一个	在穿過一個
你通过一道	你穿過一道
——	──
“	「
”	」
‘	「
’	」
“不懂得历史的人注定要重蹈覆辙。不过看起来你对‘重复’这件事还是略知一二的，对不对？”	「不懂得歷史的人註定要重蹈覆轍。不過看起來你對『重複』這件事還是略知一二的，對不對？」
